,Company,yearly_returns,yearly_vol
0,MMM,-0.057624207967755865,0.18471163959428039
1,ABT,0.021440226110662857,0.21780837141017656
2,ABBV,-0.071393116652505,0.31771873268268463
3,ACN,0.20162586387050868,0.20430188991897497
4,ATVI,0.942684049275302,0.2778988181879437
5,AYI,0.6764429858203079,0.24783166493922704
6,ADBE,0.2985900911578708,0.23439309773966296
7,AAP,-0.049327666679316366,0.3090706167368639
8,AES,-0.27838070289878114,0.28329013071911147
9,AET,0.2292818447054235,0.2902696448933273
10,AMG,-0.24079266114883155,0.2675080819570333
11,AFL,0.005525825889950708,0.18640846399324232
12,A,0.04179219245643853,0.22493554841818642
13,APD,-0.08395758375256523,0.2173862459741837
14,AKAM,-0.16790512252964426,0.29453430123690083
15,ALK,0.3496369188046461,0.30869029566063094
16,ALB,-0.049690536337234296,0.3430531169131577
17,AA,-0.3720339504302226,0.3828565555702432
18,ALXN,0.02224005287545378,0.3458655363388738
19,ALLE,0.2053106583385726,0.20347183998032634
20,AGN,0.2059583759896891,0.31120108556390225
21,ADS,-0.030837117265955172,0.225717606838542
22,LNT,-0.02742356856578974,0.19970984177454523
23,ALL,-0.0977969645587116,0.20546814787691828
24,GOOGL,0.469190874573299,0.2885401087862145
25,GOOG,0.44600241765627163,0.295160116543143
26,MO,0.23865490932934974,0.18736646071126048
27,AMZN,1.1907495108850144,0.33557845817860327
28,AEE,-0.020329910249634132,0.19722039934242053
29,AAL,-0.20768090240504755,0.3724636132247903
30,AEP,-0.010772158745853019,0.1927143606000793
31,AXP,-0.24193160029038902,0.21389184910654585
32,AIG,0.1194959186411768,0.20584311189061813
33,AMT,-0.008217348312235105,0.20198098167603967
34,AWK,0.13519543124968558,0.17237671941751562
35,AMP,-0.1774271827762276,0.22802150436158838
36,ABC,0.1600017858647604,0.16761893013638773
37,AME,0.025231239805826432,0.2060097698330241
38,AMGN,0.03565373624452044,0.28308205108793044
39,APH,-0.01682453204623257,0.2200489736248906
40,APC,-0.4006274347046565,0.36073285139273586
41,ADI,0.023489905340652456,0.3205110754515255
42,ANTM,0.13063608128171258,0.2459113419368356
43,AON,-0.010741372813681729,0.1870881008331984
44,APA,-0.2906076001367751,0.4207219293274672
45,AIV,0.0898125620048384,0.21446815240765668
46,AAPL,-0.020822693806219983,0.2672016808896864
47,AMAT,-0.23638993905974412,0.2685802015426885
48,ADM,-0.2772806988583357,0.23684472857088718
49,AJG,-0.09947545490051973,0.15384494466101498
50,AIZ,0.2110948309865912,0.20413183214816535
51,T,0.07424328133073037,0.15752654832219215
52,ADSK,0.023517571367673015,0.2862052667027109
53,ADP,0.042006960446406554,0.19277351944217508
54,AN,-0.006329130474198361,0.22662244918233035
55,AZO,0.2028567250812237,0.18381903798728083
56,AVGO,0.46766536108022977,0.40606216931191547
57,AVB,0.1432453754454123,0.19475087373556038
58,AVY,0.23975758152579066,0.21251580917637528
59,BHI,-0.16878031570360838,0.34984727332330534
60,BLL,0.07268735424249181,0.24601760797465808
61,BAC,-0.04829002373078732,0.2567534825315113
62,BCR,0.1369258041729387,0.2023659636923288
63,BAX,-0.021014673517326284,0.20072380622710423
64,BBT,0.005080892748579046,0.21247122696031287
65,BDX,0.12065724892689357,0.17952756680776238
66,BBBY,-0.3711716725866201,0.23526401061346283
67,BRK-B,-0.11483545773058207,0.17264656442116524
68,BBY,-0.18433131869362052,0.33031905041309056
69,BIIB,-0.10426596578269745,0.41190952865725045
70,BLK,-0.021272915852777966,0.22397924734287586
71,HRB,0.031444853557507126,0.25837887658830627
72,BA,0.14091442586576572,0.21756671460616742
73,BWA,-0.20215459708085215,0.28560532424335466
74,BXP,0.0015412729638638889,0.20380838627099296
75,BSX,0.394856354009077,0.28565813652914884
76,BMY,0.18294026136819821,0.242547488574772
77,BF-B,0.14016479910147633,0.17914371576764662
78,CHRW,-0.13951279255348223,0.2483174296285879
79,CA,-0.03669953390090276,0.20839845045793462
80,COG,-0.41054328539282653,0.37323315291852893
81,CPB,0.22628743600228368,0.17254281453574052
82,COF,-0.1084497041402255,0.2586039238626706
83,CAH,0.1285197493693779,0.20422570329080905
84,KMX,-0.18805475871739483,0.2573939875603128
85,CCL,0.22185455876036944,0.25199032904326696
86,CAT,-0.23267063734920992,0.25448616350934855
87,CBG,-0.0025957890161977886,0.2570438868303297
88,CBS,-0.12990707846820182,0.2416678922149589
89,CELG,0.05496833302418072,0.3344236521345499
90,CNC,0.2602450543806,0.34874307326859194
91,CNP,-0.18271665106352275,0.22684108750976623
92,CTL,-0.31856378816667125,0.2557155056803365
93,CERN,-0.0747347543400701,0.2390280302910027
94,CF,-0.24973775256176622,0.3562274744522745
95,SCHW,0.0981090022608173,0.2956867541824558
96,CHK,-0.7697847497642084,0.6778180581865301
97,CVX,-0.16468503002218546,0.2739993171778987
98,CMG,-0.2926739548582328,0.28865218781611696
99,CB,0.021059033938395845,0.16933125512745809
100,CHD,0.09039438912222725,0.1520681248294854
101,CI,0.4234949984188489,0.27160157497716964
102,XEC,-0.15902196149710834,0.3817159592408646
103,CINF,0.19533803955888443,0.1774381117258523
104,CTAS,0.17394209898571167,0.1785366077569419
105,CSCO,0.0069241009957504325,0.2322565959019515
106,C,-0.04346752284973902,0.24267219847505347
107,CFG,0.07478615771747746,0.2394083240750133
108,CTXS,0.19171395715185893,0.31623162826269424
109,CME,0.08274017543904284,0.21903789788170158
110,CMS,0.061176910571776,0.2020714069082488
111,COH,-0.08731644061242344,0.29395830567995224
112,CTSH,0.13954817313644105,0.26057420911706386
