Date,Open,High,Low,Close,Volume,Adj Close
1/3/2000,17057.7,17426.16,14763.97,15405.63,0,15405.63
1/10/2000,15631,16196.09,15322.19,15542.23,0,15542.23
1/17/2000,15666.06,15827.51,14903.7,15108.41,0,15108.41
1/24/2000,15233.79,16315.74,14910.29,16185.94,0,16185.94
1/31/2000,15889.05,16010.03,15444.82,15968.12,0,15968.12
2/8/2000,16079.89,17653.65,15940.31,17380.3,0,17380.3
2/14/2000,17546.47,17939.27,16468.95,16599.16,0,16599.16
2/21/2000,16412.63,17414.46,15776.35,17200.98,0,17200.98
2/28/2000,17434.72,17746.77,16617.95,17285.24,0,17285.24
3/6/2000,17500.97,18249.86,17323.76,17831.86,0,17831.86
3/13/2000,17650.62,17786.28,16315.04,17082.99,0,17082.99
3/20/2000,16878.81,17879.37,16708.72,17784.57,0,17784.57
3/27/2000,17827.71,18397.57,17107.44,17406.54,0,17406.54
4/3/2000,17444.48,17458.06,16246.53,16941.68,0,16941.68
4/10/2000,17038.22,17083.27,15906.29,16142.76,0,16142.76
4/17/2000,15306.05,15667.16,14624.33,15367.14,0,15367.14
4/25/2000,15335.89,15629.52,15068.66,15519.3,0,15519.3
5/2/2000,15751.03,15912.27,15171.11,15268.64,0,15268.64
5/8/2000,15337.66,15443.33,14288.33,15111.94,0,15111.94
5/15/2000,15117.75,15293.26,14166.36,14478.26,0,14478.26
5/22/2000,14278.51,14311.7,13596.63,13722.7,0,13722.7
5/29/2000,13735.07,15344.13,13606.19,15284.1,0,15284.1
6/5/2000,15643.79,16154.8,15643.79,16120.26,0,16120.26
6/12/2000,16125.75,16483.91,15621.3,16434.38,0,16434.38
6/19/2000,16332.69,16525.02,15667.35,15738.08,0,15738.08
6/26/2000,15726.12,16534.48,15644.61,16155.78,0,16155.78
7/3/2000,16177.06,16861.58,15928.92,16829.96,0,16829.96
7/10/2000,17024.46,17834.95,17024.46,17586.16,0,17586.16
7/17/2000,17736.62,18125.57,17388.63,17920.86,0,17920.86
7/24/2000,17866.28,18028.65,16994.37,17183.93,0,17183.93
7/31/2000,16977.7,17555.2,16729.98,17425.7,0,17425.7
8/7/2000,17538.81,17761.95,16951.04,17214.42,0,17214.42
8/14/2000,17245.34,17794.32,16945.44,17440,0,17440
8/21/2000,17432.42,17785.08,17058.34,17236.74,0,17236.74
8/28/2000,17220.79,17391.01,16929.64,17333.61,0,17333.61
9/4/2000,17421.34,17803.2,17228.52,17275.45,0,17275.45
9/11/2000,17199.28,17199.28,16195.69,16249.53,0,16249.53
9/18/2000,16010.69,16010.69,14538.88,14612.88,0,14612.88
9/25/2000,14894.09,15772.56,14894.09,15648.98,0,15648.98
10/3/2000,15586.03,16245.61,15469.39,16184.68,0,16184.68
10/9/2000,16046.88,16057.4,14494.38,14680.5,0,14680.5
10/16/2000,15185.68,15284.65,14107.74,15044.53,0,15044.53
10/23/2000,15038.25,15209.34,14764.5,14902.46,0,14902.46
10/30/2000,14936.19,15693.03,14729.21,15594.12,0,15594.12
11/6/2000,15625.43,16023.41,15324.13,15389.39,0,15389.39
11/13/2000,15078.75,15473.76,14802.48,15180.85,0,15180.85
11/20/2000,15154.04,15379.39,14257.54,14376.9,0,14376.9
11/27/2000,14491.37,14691.07,13894.19,14441.43,0,14441.43
12/4/2000,14470.49,15281.81,14403.38,15189.33,0,15189.33
12/11/2000,15274.07,15637.78,14914.05,14975.53,0,14975.53
12/18/2000,14901.43,15192.22,14476.79,14738.21,0,14738.21
12/27/2000,14811.95,15154.92,14727.45,15095.53,0,15095.53
1/2/2001,15089.85,15494.56,14512.71,15447.61,0,15447.61
1/8/2001,15328.12,15555.97,15060.81,15295.42,0,15295.42
1/15/2001,15288.81,15964.93,15146.65,15933.55,0,15933.55
1/22/2001,15967.66,16106.16,15906.58,16044.21,0,16044.21
1/29/2001,16176.1,16274.67,15877.23,16071.29,0,16071.29
2/5/2001,16013.46,16060.32,15753.97,15873.28,0,15873.28
2/12/2001,15807.64,16021.22,15544.62,15630.31,0,15630.31
2/19/2001,15552.94,15613.44,15039.08,15280.56,0,15280.56
2/26/2001,15278.15,15304.66,13951.43,13966.43,0,13966.43
3/5/2001,14011.3,14432.22,13908.07,14194.35,0,14194.35
3/12/2001,13969.05,13969.05,12947.59,13522.04,0,13522.04
3/19/2001,13383.81,13565.97,12396.97,12583.36,0,12583.36
3/26/2001,12678.9,13056.32,12523.61,12760.64,0,12760.64
4/2/2001,12750.31,12843.9,12062.84,12386.61,0,12386.61
4/9/2001,12355.61,13018.57,12061.55,12989.47,0,12989.47
4/17/2001,12881.52,13621.8,12597.36,13448.13,0,13448.13
4/23/2001,13444.41,13444.41,13125.36,13386.04,0,13386.04
5/2/2001,13596.27,13844.36,13319.39,13390.99,0,13390.99
5/7/2001,13464.34,13726.45,13408.99,13636.61,0,13636.61
5/14/2001,13608.84,13713.06,13209.55,13459.18,0,13459.18
5/21/2001,13465.72,13989.16,13465.72,13753.99,0,13753.99
5/28/2001,13738.07,13767.45,13091.51,13141.38,0,13141.38
6/4/2001,13167.02,13900.68,13146.72,13808.89,0,13808.89
6/11/2001,13748.43,13846.33,12949.07,13102.5,0,13102.5
6/18/2001,13092.77,13253.34,12891.2,13174.02,0,13174.02
6/26/2001,13142.43,13142.43,12787.01,13042.53,0,13042.53
7/3/2001,13068.3,13236.98,12986.59,12999.48,0,12999.48
7/9/2001,12768.62,12820.85,12457.51,12612.79,194500400,12612.79
7/16/2001,12663.46,12692.09,12191.57,12301.68,148200700,12301.68
7/23/2001,12232.75,12257.58,12003.16,12182.17,162849600,12182.17
7/30/2001,12103.56,12544.64,12007.67,12269.08,197304400,12269.08
8/6/2001,12255.53,12260.23,11605.04,11765.81,181796400,11765.81
8/13/2001,11779.46,12195.08,11624.99,11754.81,250903400,11754.81
8/20/2001,11573.46,11573.46,11049.45,11110.3,242229600,11110.3
8/27/2001,11307.18,11372.29,11003.95,11090.48,204954800,11090.48
9/3/2001,11058.8,11180.79,10346.88,10384.2,266862400,10384.2
9/10/2001,10227.47,10427.29,9170.24,9655.45,73431200,9655.45
9/17/2001,9397.24,9608.51,8894.36,8934.2,227632600,8934.2
9/24/2001,8971.47,9959.35,8971.47,9950.7,363606200,9950.7
10/3/2001,9995.22,10315.01,9883.76,10277.38,422729900,10277.38
10/8/2001,10153.56,10638.58,9904.93,10274.13,415764300,10274.13
10/15/2001,10195.64,10331.82,9801.63,9825.84,309144800,9825.84
10/22/2001,9832.11,10475.19,9758.98,10404.74,242960400,10404.74
10/29/2001,10406.93,10406.93,9927.41,10186.06,244538200,10186.06
11/5/2001,10202.3,10716.55,10165.51,10609.25,316774100,10609.25
11/12/2001,10618.07,11393.49,10462.02,11287.37,399082800,11287.37
11/19/2001,11292.98,11501.04,11114.54,11322.36,353594400,11322.36
11/26/2001,11380,11525.26,10905.04,11279.25,345552000,11279.25
12/3/2001,11253.98,11957.83,11049.15,11832.18,470750800,11832.18
12/10/2001,11786.91,11875.03,11349.51,11466.11,291815200,11466.11
12/17/2001,11464.38,11639.22,11122.2,11158.1,209800300,11158.1
12/24/2001,11189.52,11432.29,11182.45,11431.59,119434200,11431.59
12/31/2001,11431.59,11727.81,11241.63,11702.15,201991700,11702.15
1/7/2002,11687.43,11905.55,11085.47,11166.46,364320600,11166.46
1/14/2002,11081.38,11213.86,10808,10972.96,246128000,10972.96
1/21/2002,10967.09,11083.17,10689.06,10772.96,235986600,10772.96
1/28/2002,10749.08,11041.82,10671.77,10691.25,278302400,10691.25
2/4/2002,10680.32,10806.68,10393.83,10518.99,295437900,10518.99
2/11/2002,10596.06,11108.48,10596.06,10961.88,238572400,10961.88
2/18/2002,10905.49,11007,10579.81,10664.94,176810900,10664.94
2/25/2002,10679,10757.11,10387.49,10425.31,222649900,10425.31
3/4/2002,10593.77,11331.12,10561.38,11233.23,348916000,11233.23
3/11/2002,11234.53,11381.85,11150.5,11210.25,256657000,11210.25
3/18/2002,11224.32,11317.75,10810.9,10863.07,271590000,10863.07
3/25/2002,10855.23,11075.4,10715.05,11032.92,211982100,11032.92
4/2/2002,11032.36,11055.98,10747.99,10831.37,196521300,10831.37
4/8/2002,10833.16,10856.64,10610.76,10710.48,180038100,10710.48
4/15/2002,10720.41,11285.05,10690.47,11252.18,265597400,11252.18
4/22/2002,11259.04,11461.59,11102.23,11385.08,300429200,11385.08
4/29/2002,11329.91,11863.62,11260.88,11797.22,329625000,11797.22
5/6/2002,11771.08,11962.1,11591.26,11645.9,267507800,11645.9
5/13/2002,11653.55,12021.72,11650.62,11974.61,225740200,11974.61
5/21/2002,11959.65,12006.92,11586.52,11626.78,251734200,11626.78
5/27/2002,11608.38,11612.53,11260.2,11301.94,220568800,11301.94
6/3/2002,11339.2,11475.19,11204.86,11284.71,165464300,11284.71
6/10/2002,11270.1,11326.43,10940.23,10955.52,173724800,10955.52
6/17/2002,10871.51,10983.72,10574.03,10591.86,231657000,10591.86
6/24/2002,10544.45,10699.32,10291.16,10598.55,249680500,10598.55
7/2/2002,10511.12,10845.88,10407.58,10806.16,192673000,10806.16
7/8/2002,10923.5,10939.56,10482.73,10648.3,182292300,10648.3
7/15/2002,10556.5,10597.35,10213.02,10325.46,184409700,10325.46
7/22/2002,10166.26,10322.49,9687.5,9773.12,252532600,9773.12
7/29/2002,9873.44,10329.05,9829.55,9991.72,190044200,9991.72
8/5/2002,9913.08,10149.9,9632.98,10014.06,185346000,10014.06
8/12/2002,10039.77,10299.72,9883.09,10265.04,190097100,10265.04
8/19/2002,10250.4,10478.65,10166.54,10245.69,165624000,10245.69
8/26/2002,10232.88,10266.76,9988.86,10043.87,147126500,10043.87
9/2/2002,10039.67,10044.57,9629.22,9720.86,206798200,9720.86
9/9/2002,9781.54,9954.82,9609.77,9650.97,173129000,9650.97
9/16/2002,9624.84,9732.33,9210.94,9328.22,250461200,9328.22
9/23/2002,9295.69,9368.14,9014.58,9294.46,179701000,9294.46
9/30/2002,9098.93,9241.86,8915,9051.37,250970100,9051.37
10/7/2002,8844.69,8990.76,8772.48,8965.73,235363400,8965.73
10/15/2002,9153.25,9744.64,9131.41,9613.07,359983800,9613.07
10/21/2002,9593.65,9809.51,9507.99,9722.54,256372300,9722.54
10/28/2002,9732.6,9860.87,9388.35,9407.68,198872800,9407.68
11/4/2002,9587.97,9880.13,9565.79,9770.68,262116900,9770.68
11/11/2002,9699.75,9885.98,9522.45,9865.65,292913400,9865.65
11/18/2002,9994.29,10128.69,9843.09,10065.32,219366800,10065.32
11/25/2002,10031.33,10170.3,9912.02,10069.87,302544100,10069.87
12/2/2002,10107.96,10246.86,9890.62,9973.75,277782900,9973.75
12/9/2002,9988.69,9999.39,9695.74,9728.43,318604700,9728.43
12/16/2002,9644.64,9787.64,9477.82,9628.69,219365400,9628.69
12/23/2002,9640.92,9640.92,9426.06,9445.26,155668100,9445.26
12/30/2002,9345.67,9585.66,9244.9,9583.85,178821400,9583.85
1/6/2003,9605.09,9781.08,9560.82,9721.5,201371800,9721.5
1/13/2003,9752.3,9892.7,9597.23,9614.59,188590500,9614.59
1/20/2003,9551.56,9606.87,9416.12,9460.6,172140600,9460.6
1/27/2003,9326.76,9341.11,9179.24,9258.95,164091000,9258.95
2/4/2003,9327.32,9331.95,9072.67,9150.95,164563900,9150.95
2/10/2003,9135.1,9334.9,9131.62,9201.76,166015000,9201.76
2/17/2003,9311.65,9463.99,9231.37,9250.86,164065700,9250.86
2/24/2003,9302.73,9313.81,9029.95,9122.66,155334400,9122.66
3/3/2003,9141.46,9316.27,8869.61,8907.1,177658400,8907.1
3/10/2003,8894.04,8996.05,8757.22,8956.17,201012500,8956.17
3/17/2003,8901.22,9281.6,8795.08,9179.19,255702800,9179.19
3/24/2003,9214.65,9262.77,8812.32,8863.36,202873400,8863.36
3/31/2003,8755.81,8845.8,8465.79,8822.45,270258400,8822.45
4/7/2003,8838.83,8973.81,8552.68,8645.65,239678500,8645.65
4/14/2003,8598.08,8705.27,8493.46,8579.14,179297800,8579.14
4/22/2003,8531.11,8654.62,8331.87,8409.01,284164000,8409.01
4/28/2003,8354.66,8817.74,8354.66,8808.18,301158100,8808.18
5/5/2003,8895.39,9084.16,8834.69,9084.16,245026400,9084.16
5/12/2003,9164.1,9217.26,9052.25,9093.18,222928700,9093.18
5/19/2003,9074.34,9313.98,8973.66,9303.73,201913200,9303.73
5/26/2003,9412.73,9587.17,9411.32,9487.38,290452600,9487.38
6/2/2003,9582.01,9780.85,9563.72,9694.63,364120300,9694.63
6/9/2003,9698.29,9866.66,9625.47,9855.64,264178700,9855.64
6/16/2003,9821.39,10067.86,9819.88,9930.31,278021000,9930.31
6/23/2003,9918.77,9935.85,9526.92,9657.21,195539700,9657.21
6/30/2003,9594.94,9705.63,9512.2,9636.81,222011500,9636.81
7/7/2003,9683.81,10086.45,9637.9,9911.5,270677800,9911.5
7/14/2003,9990.89,10236.89,9980.25,10140.84,397006400,10140.84
7/21/2003,10189.15,10203.35,9864.45,9939.2,187290000,9939.2
7/28/2003,10031.24,10292.77,10031.24,10248.6,282660800,10248.6
8/4/2003,10208.13,10291,9924.14,9945.22,227224000,9945.22
8/11/2003,9983.88,10434.49,9978.99,10424.56,243457000,10424.56
8/18/2003,10457.35,10768.64,10424.39,10760.73,351504400,10760.73
8/25/2003,10733.12,10934.52,10629.89,10908.99,311586200,10908.99
9/1/2003,10937.79,11198.96,10879.44,11170.61,317725900,11170.61
9/8/2003,11126.31,11242.15,10762.03,10883.52,296540200,10883.52
9/15/2003,10952.58,11204.87,10871.59,10968.42,329597700,10968.42
9/22/2003,10920.03,11444.72,10822.56,11290.15,399285800,11290.15
9/29/2003,11256.06,11652.4,11104.34,11608.72,435580600,11608.72
10/6/2003,11715.91,11958.39,11624.37,11935.83,407439800,11935.83
10/13/2003,11957.38,12104.89,11831.58,12044.49,311598100,12044.49
10/20/2003,11985.4,12297.46,11558.11,11736.37,413677900,11736.37
